node_idx,account_id,y
0,7401327478,1
1,6340007440,1
2,3758118046,1
3,445154846,1
4,2758469152,1
5,5748489103,1
6,4928880336,1
7,4624222122,1
8,5262095561,1
9,2369776263,1
10,8501920513,1
11,7877406257,1
12,6219666393,1
13,5535491870,1
14,7147448786,1
15,987302110,1
16,8212001718,1
17,1587046893,1
18,976070224,1
19,2482785525,1
20,3979625953,1
21,3895286750,1
22,466498973,1
23,9444956233,1
24,9141887311,1
25,8093648634,1
26,6658116904,1
27,4501271268,1
28,4972307187,1
29,6855720762,1
30,6381030298,1
31,7900125583,1
32,4675771219,1
33,5931070343,1
34,2649480083,1
35,9352740070,1
36,2975433371,1
37,2626270774,1
38,9855729126,1
39,3267846600,1
40,7785245954,1
41,1291265097,1
42,5825377846,1
43,9332541212,1
44,7419470415,1
45,9330449479,1
46,142007788,1
47,5040384414,1
48,4405331748,1
49,7279271900,1
50,78750373,1
51,2737194318,1
52,2520061873,1
53,9678311627,1
54,3989101183,1
55,6088569153,1
56,5772924864,1
57,524887805,1
58,120902347,1
59,8498139448,1
60,1775046511,1
61,9107206798,1
62,389024076,1
63,9741665599,1
64,2528352705,1
65,2697605096,1
66,8707551848,1
67,6837507008,1
68,6267865191,1
69,5074743934,1
70,3591030456,1
71,8078880434,1
72,3767006545,1
73,2090244022,1
74,207936746,1
75,5396594127,1
76,8600542721,1
77,8394329540,1
78,3366160080,1
79,5932891635,1
80,3962781574,1
81,6558961368,1
82,4468415510,1
83,3211540762,1
84,9234269769,1
85,5617532830,1
86,9935797721,1
87,7437186310,1
88,403526894,1
89,2783073273,1
90,9350495967,1
91,4533141883,1
92,3046750994,1
93,8461222114,1
94,9485651027,1
95,819399232,1
96,726077956,1
97,3201382642,1
98,1422891634,1
99,8957068054,1
100,2875874575,1
101,3190048835,1
102,6978297094,1
103,7828122612,1
104,3342935265,1
105,285552105,1
106,435764827,1
107,4753178310,1
108,5191792876,1
109,988008298,1
110,3027507704,1
111,1681811645,1
112,3783057593,1
113,9085937756,1
114,5057689301,1
115,3556481259,1
116,266182901,1
117,5772818011,1
118,2440773125,1
119,7877257337,1
120,5883863892,1
121,6566598426,1
122,3453088802,1
123,2447476655,1
124,1457356634,1
125,4957058371,1
126,2386780639,1
127,5423475420,1
128,2641062081,1
129,1464968036,1
130,6088675358,1
131,8585579344,1
132,4390377272,1
133,8753869372,1
134,3895306575,1
135,1168258535,1
136,2392170793,1
137,4900827431,1
138,1860351715,1
139,6042344622,1
140,9402212829,1
141,3651814546,1
142,9403274839,1
143,149944640,1
144,8379256821,1
145,2337289637,1
146,5095505244,1
147,5498153777,1
148,9749980386,1
149,9137307154,1
150,1076202815,1
151,5668411164,1
152,8123264131,1
153,5458014530,1
154,3761094857,1
155,9511743304,1
156,3428098918,1
157,6223365730,1
158,4100600686,1
159,8644845378,1
160,3860436187,1
161,4827744909,1
162,3241216466,1
163,6633012892,1
164,4254045660,1
165,3002136616,1
166,2835477095,1
167,8687390629,1
168,3632421612,1
169,540071627,1
170,4711995584,1
171,927503944,1
172,346811235,1
173,675669049,1
174,7659131803,1
175,3092775499,1
176,4563831944,1
177,7084752054,1
178,9850092818,1
179,6659207763,1
180,6652024436,1
181,9674437188,1
182,8848140810,1
183,188929394,1
184,6701974379,1
185,6611358144,1
186,6380248033,1
187,4857372800,1
188,487845226,1
189,5151780757,1
190,608860522,1
191,7026545363,1
192,4729216950,1
193,660492284,1
194,4913551727,1
195,9707989791,1
196,616741041,1
197,8683543845,1
198,9599002502,1
199,3764972093,1
200,6767692560,1
201,6654412700,1
202,4431107138,1
203,604317393,1
204,531041847,1
205,6051946283,1
206,9586816158,1
207,3427594465,1
208,9186785530,1
209,3873090207,1
210,1365245330,1
211,1968816394,1
212,7191804812,1
213,4694931941,1
214,6981910149,1
215,8967402463,1
216,7973807879,1
217,2824945595,1
218,7328857291,1
219,1763632302,1
220,8257338541,1
221,7931564408,1
222,7530675315,1
223,2749124400,1
224,5730432020,1
225,2286679717,1
226,6860797177,1
227,8890923622,1
228,5939286319,1
229,9003897341,1
230,1364111403,1
231,5520221039,1
232,6859784309,1
233,5623141347,1
234,8891878216,1
235,4816063555,1
236,7474707387,1
237,6068920356,1
238,4346395450,1
239,5047305009,1
240,3470363208,1
241,9634559331,1
242,6545638988,1
243,6874719158,1
244,1584692715,1
245,6770601554,1
246,2281394207,1
247,9085912544,1
248,6527257111,1
249,8829678143,1
250,5691306117,1
251,524784461,1
252,3919105611,1
253,9471903835,1
254,6010225513,1
255,1423078109,1
256,7155502273,1
257,7093478091,1
258,7190719389,1
259,9430804295,1
260,6469356325,1
261,5702856441,1
262,305103818,1
263,2176135093,1
264,2081479084,1
265,5732243739,1
266,2161928970,1
267,3143556912,1
268,7954210371,1
269,2364222213,1
270,9186339166,1
271,9653743841,1
272,2166563883,1
273,6469485685,1
274,2749172169,1
275,1351502592,1
276,4014748430,1
277,9624361621,1
278,4599310239,1
279,2550670994,1
280,7701458546,1
281,9784821557,1
282,2676603542,1
283,7206201403,1
284,932748756,1
285,7911678176,1
286,1209741468,1
287,6960958775,1
288,4310198050,1
289,1888233271,1
290,1813079910,1
291,7348501127,1
292,3405863613,1
293,2194097010,1
294,3885905606,1
295,5653560154,1
296,879666223,1
297,7352073803,1
298,8178792185,1
299,7089896363,1
300,5869654043,1
301,5896843637,1
302,960956176,1
303,7656249917,1
304,5303255200,1
305,7219585821,1
306,390237565,1
307,1424693007,1
308,6123762963,1
309,67242300,1
310,6318099591,1
311,6236037246,1
312,1652103580,1
313,1890296485,1
314,8776423825,1
315,8215544280,1
316,8176672843,1
317,1416418992,1
318,2548274915,1
319,8883712210,1
320,8216851572,1
321,7578442353,1
322,7485881891,1
323,8457217575,1
324,8424086459,1
325,5321651029,1
326,2793197858,1
327,9232425799,1
328,9809522264,1
329,4708001806,1
330,7438881743,1
331,5710097523,1
332,2135597740,1
333,7837151352,1
334,3518494338,1
335,9218114986,1
336,5987662725,1
337,3001717656,1
338,34088849,1
339,5311136162,1
340,1725504867,1
341,2477514279,1
342,3976321933,1
343,6009668619,1
344,797401661,1
345,9369763023,1
346,4268503032,1
